Year,Geo Level,State,State ANSI,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value
2017,COUNTY,IOWA,19,BOONE,15,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"365,811"
2017,COUNTY,IOWA,19,DALLAS,49,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"376,512"
2017,COUNTY,IOWA,19,GRUNDY,75,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"321,187"
2017,COUNTY,IOWA,19,HAMILTON,79,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"369,121"
2017,COUNTY,IOWA,19,HARDIN,83,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"364,359"
2017,COUNTY,IOWA,19,JASPER,99,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"467,468"
2017,COUNTY,IOWA,19,MARSHALL,127,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"366,402"
2017,COUNTY,IOWA,19,POLK,153,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"366,392"
2017,COUNTY,IOWA,19,POWESHIEK,157,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"374,348"
2017,COUNTY,IOWA,19,STORY,169,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"366,515"
2017,COUNTY,IOWA,19,TAMA,171,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"461,448"
2017,COUNTY,IOWA,19,WEBSTER,187,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"458,031"
2017,COUNTY,IOWA,19,BENTON,11,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"458,410"
2017,COUNTY,IOWA,19,CEDAR,31,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"370,838"
2017,COUNTY,IOWA,19,CLINTON,45,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"444,748"
2017,COUNTY,IOWA,19,IOWA,95,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"375,332"
2017,COUNTY,IOWA,19,JACKSON,97,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"407,065"
2017,COUNTY,IOWA,19,JOHNSON,103,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"392,991"
2017,COUNTY,IOWA,19,JONES,105,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"368,378"
2017,COUNTY,IOWA,19,LINN,113,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"458,815"
2017,COUNTY,IOWA,19,MUSCATINE,139,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"279,965"
2017,COUNTY,IOWA,19,SCOTT,163,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"293,175"
2017,COUNTY,IOWA,19,BUTLER,23,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"371,288"
2017,COUNTY,IOWA,19,CERRO GORDO,33,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"363,710"
2017,COUNTY,IOWA,19,FLOYD,67,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"320,404"
2017,COUNTY,IOWA,19,FRANKLIN,69,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"372,462"
2017,COUNTY,IOWA,19,HANCOCK,81,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"365,443"
2017,COUNTY,IOWA,19,HUMBOLDT,91,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"277,993"
2017,COUNTY,IOWA,19,KOSSUTH,109,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"622,548"
2017,COUNTY,IOWA,19,MITCHELL,131,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"300,245"
2017,COUNTY,IOWA,19,WINNEBAGO,189,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"256,313"
2017,COUNTY,IOWA,19,WORTH,195,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"256,079"
2017,COUNTY,IOWA,19,WRIGHT,197,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"371,470"
2017,COUNTY,IOWA,19,ALLAMAKEE,5,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"409,012"
2017,COUNTY,IOWA,19,BLACK HAWK,13,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"362,100"
2017,COUNTY,IOWA,19,BREMER,17,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"278,707"
2017,COUNTY,IOWA,19,BUCHANAN,19,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"365,453"
2017,COUNTY,IOWA,19,CHICKASAW,37,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"322,803"
2017,COUNTY,IOWA,19,CLAYTON,43,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"498,237"
2017,COUNTY,IOWA,19,DELAWARE,55,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"369,739"
2017,COUNTY,IOWA,19,DUBUQUE,61,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"389,311"
2017,COUNTY,IOWA,19,FAYETTE,65,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"467,731"
2017,COUNTY,IOWA,19,HOWARD,89,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"302,879"
2017,COUNTY,IOWA,19,WINNESHIEK,191,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"441,507"
2017,COUNTY,IOWA,19,BUENA VISTA,21,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"367,937"
2017,COUNTY,IOWA,19,CHEROKEE,35,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"369,220"
2017,COUNTY,IOWA,19,CLAY,41,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"363,032"
2017,COUNTY,IOWA,19,DICKINSON,59,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"243,532"
2017,COUNTY,IOWA,19,EMMET,63,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"253,364"
2017,COUNTY,IOWA,19,LYON,119,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"376,096"
2017,COUNTY,IOWA,19,O BRIEN,141,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"366,742"
2017,COUNTY,IOWA,19,OSCEOLA,143,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"255,160"
2017,COUNTY,IOWA,19,PALO ALTO,147,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"360,870"
2017,COUNTY,IOWA,19,PLYMOUTH,149,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"552,210"
2017,COUNTY,IOWA,19,POCAHONTAS,151,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"369,434"
2017,COUNTY,IOWA,19,SIOUX,167,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"491,443"
2017,COUNTY,IOWA,19,APPANOOSE,7,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"318,268"
2017,COUNTY,IOWA,19,CLARKE,39,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"275,947"
2017,COUNTY,IOWA,19,DECATUR,53,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"340,404"
2017,COUNTY,IOWA,19,LUCAS,117,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"275,586"
2017,COUNTY,IOWA,19,MADISON,121,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"359,044"
2017,COUNTY,IOWA,19,MARION,125,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"354,874"
2017,COUNTY,IOWA,19,MONROE,135,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"277,578"
2017,COUNTY,IOWA,19,RINGGOLD,159,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"342,719"
2017,COUNTY,IOWA,19,UNION,175,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"271,133"
2017,COUNTY,IOWA,19,WARREN,181,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"364,697"
2017,COUNTY,IOWA,19,WAYNE,185,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"336,296"
2017,COUNTY,IOWA,19,DAVIS,51,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"321,400"
2017,COUNTY,IOWA,19,DES MOINES,57,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"266,326"
2017,COUNTY,IOWA,19,HENRY,87,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"277,942"
2017,COUNTY,IOWA,19,JEFFERSON,101,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"278,735"
2017,COUNTY,IOWA,19,KEOKUK,107,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"370,675"
2017,COUNTY,IOWA,19,LEE,111,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"331,226"
2017,COUNTY,IOWA,19,LOUISA,115,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"257,133"
2017,COUNTY,IOWA,19,MAHASKA,123,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"365,352"
2017,COUNTY,IOWA,19,VAN BUREN,177,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"310,277"
2017,COUNTY,IOWA,19,WAPELLO,179,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"276,378"
2017,COUNTY,IOWA,19,WASHINGTON,183,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"364,047"
2017,COUNTY,IOWA,19,ADAIR,1,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"364,333"
2017,COUNTY,IOWA,19,ADAMS,3,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"271,001"
2017,COUNTY,IOWA,19,CASS,29,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"361,132"
2017,COUNTY,IOWA,19,FREMONT,71,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"327,120"
2017,COUNTY,IOWA,19,MILLS,129,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"279,958"
2017,COUNTY,IOWA,19,MONTGOMERY,137,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"271,422"
2017,COUNTY,IOWA,19,PAGE,145,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"342,364"
2017,COUNTY,IOWA,19,POTTAWATTAMIE,155,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"608,349"
2017,COUNTY,IOWA,19,TAYLOR,173,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"340,417"
2017,COUNTY,IOWA,19,AUDUBON,9,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"283,495"
2017,COUNTY,IOWA,19,CALHOUN,25,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"364,701"
2017,COUNTY,IOWA,19,CARROLL,27,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"364,440"
2017,COUNTY,IOWA,19,CRAWFORD,47,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"457,082"
2017,COUNTY,IOWA,19,GREENE,73,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"364,545"
2017,COUNTY,IOWA,19,GUTHRIE,77,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"377,997"
2017,COUNTY,IOWA,19,HARRISON,85,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"445,978"
2017,COUNTY,IOWA,19,IDA,93,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"276,165"
2017,COUNTY,IOWA,19,MONONA,133,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"444,206"
2017,COUNTY,IOWA,19,SAC,161,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"368,014"
2017,COUNTY,IOWA,19,SHELBY,165,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"378,099"
2017,COUNTY,IOWA,19,WOODBURY,193,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"558,653"
2017,COUNTY,OREGON,41,GILLIAM,21,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"771,021"
2017,COUNTY,OREGON,41,HOOD RIVER,27,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"334,137"
2017,COUNTY,OREGON,41,MORROW,49,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"1,299,540"
2017,COUNTY,OREGON,41,SHERMAN,55,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"527,113"
2017,COUNTY,OREGON,41,WASCO,65,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"1,523,929"
2017,COUNTY,OREGON,41,BAKER,1,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"1,963,499"
2017,COUNTY,OREGON,41,UMATILLA,59,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"2,057,879"
2017,COUNTY,OREGON,41,UNION,61,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"1,303,629"
2017,COUNTY,OREGON,41,WALLOWA,63,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"2,013,374"
2017,COUNTY,OREGON,41,BENTON,3,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"432,116"
2017,COUNTY,OREGON,41,CLACKAMAS,5,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"1,197,238"
2017,COUNTY,OREGON,41,CLATSOP,7,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"530,090"
2017,COUNTY,OREGON,41,COLUMBIA,9,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"421,112"
2017,COUNTY,OREGON,41,LANE,39,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"2,915,650"
2017,COUNTY,OREGON,41,LINCOLN,41,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"627,452"
2017,COUNTY,OREGON,41,LINN,43,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"1,463,727"
2017,COUNTY,OREGON,41,MARION,47,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"755,555"
2017,COUNTY,OREGON,41,MULTNOMAH,51,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"275,917"
2017,COUNTY,OREGON,41,POLK,53,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"474,191"
2017,COUNTY,OREGON,41,TILLAMOOK,57,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"705,516"
2017,COUNTY,OREGON,41,WASHINGTON,67,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"463,532"
2017,COUNTY,OREGON,41,YAMHILL,71,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"458,175"
2017,COUNTY,OREGON,41,CROOK,13,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"1,906,492"
2017,COUNTY,OREGON,41,DESCHUTES,17,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"1,931,268"
2017,COUNTY,OREGON,41,GRANT,23,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"2,897,787"
2017,COUNTY,OREGON,41,HARNEY,25,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"6,486,040"
2017,COUNTY,OREGON,41,JEFFERSON,31,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"1,140,632"
2017,COUNTY,OREGON,41,KLAMATH,35,LAND AREA,"LAND AREA, INCL NON-AG - ACRES",TOTAL,NOT SPECIFIED,"3,803,351"
